Theta1_Value,Cost Function
93761.06220877507,2277079612.006903
93835.0036304148,2273561200.469096
93908.54301867887,2270102919.2302785
93981.68333862405,2266703656.2302628
94054.42752360296,2263362320.867128
94126.77847569475,2260077843.5739155
94198.73906612911,2256849175.4037795
94270.3121357041,2253675287.6234317
94341.50049519763,2250555171.314706
94412.30692577298,2247487836.984064
94482.73417937804,2244472314.179928
94552.78497913874,2241507651.117625
94622.4620197466,2238592914.311831
94691.76796784048,2235727188.2163415
94760.70546238268,2232909574.871038
94829.2771150294,2230139193.5558834
94897.4855104957,2227415180.451836
94965.3332069151,2224736688.3084984
95032.82273619372,2222102886.1184187
95099.95660435931,2219512958.7978625
95166.73729190495,2216966106.873957
95233.16725412774,2214461546.1780653
95299.24892146245,2211998507.5452604
95364.98469981026,2209576236.519801
95430.37697086252,2207193993.066453
95495.42809241988,2204851051.287566
95560.14039870657,2202546699.145783
95624.51620068008,2200280238.192264
95688.55778633629,2198050983.300313
95752.26742101002,2195858262.4043117
95815.64734767129,2193701416.243834
95878.69978721699,2191579798.1128616
95941.42693875848,2189492773.6139674
96003.8309799048,2187439720.417405
96065.91406704178,2185420028.0249624
96127.67833560702,2183433097.538528
96189.12590036081,2181478341.433237
96250.25885565313,2179555183.3351326
96311.07927568666,2177663057.8032374
96371.58921477597,2175801410.1159525
96431.79070760295,2173969696.0616903
96491.68576946836,2172167381.7336736
96551.27639653983,2170393943.3287897
96610.56456609622,2168648866.9504457
96669.5522367683,2166931648.4153285
96728.24134877604,2165241793.0639977
96786.63382416235,2163578815.575231
96844.73156702344,2161942239.7840457
96902.53646373583,2160331598.503337
96960.05038318002,2158746433.349036
97017.27517696096,2157186294.5687385
97074.21267962523,2155650740.8737216
97130.86470887513,2154139339.274298
97187.23306577964,2152651664.9184117
97243.31953498228,2151187300.933438
97299.12588490604,2149745838.2711134
97354.65386795525,2148326875.55553
97409.90522071456,2146930018.934137
97464.88166414505,2145554881.9316897
97519.58490377752,2144201085.3070772
97574.01662990291,2142868256.912996
97628.17851776007,2141556031.5583773
97682.07222772075,2140264050.8735476
97735.69940547198,2138991963.178042
97789.06168219574,2137739423.3510327
97842.1606747461,2136506092.7043197
97894.9979858239,2135291638.8578105
97947.57520414866,2134095735.6174822
97999.89390462836,2132918062.8557317
98051.95564852653,2131758306.394093
98103.76198362702,2130616157.8882709
98155.31444439646,2129491314.7154305
98206.61455214434,2128383479.8637202
98257.66381518084,2127292361.8239648
98308.46372897236,2126217674.483498
98359.01577629488,2125159137.0220733
98409.32142738512,2124116473.809843
98459.38214008951,2123089414.3073325
98509.1993600111,2122077692.967386
98558.77452065436,2121081049.1390479
98608.1090435679,2120099226.9733267
98657.2043384852,2119131975.330817
98706.06180346332,2118179047.6911378
98754.68282501968,2117240202.0641541
98803.06877826687,2116315200.9029336
98851.22102704554,2115403811.0184262
98899.14092405554,2114505803.4958103
98946.829810985,2113620953.6124923
98994.2890186378,2112749040.7576988
99041.51986705913,2111889848.3536701
99088.52366565928,2111043163.7783813
99135.30171333574,2110208778.2897866
99181.85529859361,2109386486.9515557
99228.18569966426,2108576088.5602553
99274.29418462234,2107777385.5739658
99320.18201150121,2106990184.0422964
99365.85042840669,2106214293.5377703
99411.30067362926,2105449527.0885522
99456.5339757547,2104695701.1124983
99501.5515537732,2103952635.3524897
99546.35461718688,2103220152.8130455
99590.94436611593,2102498079.6981587
99635.32199140321,2101786245.3503635
99679.48867471742,2101084482.1909833
99723.44558865481,2100392625.6615567
99767.19389683956,2099710514.1663997
99810.73475402268,2099037989.0162961
99854.06930617966,2098374894.3732862
99897.19869060666,2097721077.1965342
99940.12403601543,2097076387.1892536
99982.846462627,2096440676.746663
100025.36708226393,2095813800.9049675
100067.68699844141,2095195617.291325
100109.80730645714,2094585986.0747983
100151.72909347987,2093984769.9182527
100193.45343863679,2093391833.931202
100234.9814130998,2092807045.6235669
100276.31408017046,2092230274.8603315
100317.4524953639,2091661393.8170912
100358.39770649163,2091100276.9364626
100399.15075374299,2090546800.8853354
100439.71266976585,2090000844.512964
100480.08447974594,2089462288.8098752
100520.2672014852,2088931016.8675656
100560.26184547912,2088406913.8389895
100600.069414993,2087889866.899815
100639.69090613718,2087379765.2104278
100679.12730794128,2086876499.878678
100718.37960242739,2086379963.9233437
100757.44876468243,2085890052.2383146
100796.33576292933,2085406661.5574563
100835.04155859747,2084929690.4201643
100873.56710639203,2084459039.1375873
100911.91335436249,2083994609.759501
100950.08124397024,2083536306.0418217
100988.07171015523,2083084033.4147556
101025.88568140176,2082637698.9515593
101063.5240798035,2082197211.3379047
101100.98782112742,2081762480.8418398
101138.27781487719,2081333419.284334
101175.3949643555,2080909940.010375
101212.34016672561,2080491957.8606513
